COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 22/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 16007 
 NOMBRE    : APATZINGAN (SMN) 
 ESTADO    : MICHOACÁN DE OCAMPO 
 MUNICIPIO : APATZINGÁN 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.08861111 ° 
 LONGITUD  : -102.3508333 ° 
 ALTITUD   : 320 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1922									60.2	18	12.2	0	90.4	22.6	4
1923	0	33.7	0	0	0	40.7	29.2	72	55	129.7	0	0	360.3	30	12
1924	0							25.9	60.5	2	0	1	89.4	14.9	6
1925	0	0	0	0	2.5	35	37.2	33.7	45	34.2	6.2	58	251.8	21	12
1926	0	13.2	0	4	0	18.5	64.5	62.5	23.7	31.2	0	0	217.6	18.1	12
1927	0	0	0	5	21.2	46	65	55	25	5	0	0	222.2	18.5	12
1928	0.5	0	0	0	10	30	32.5	37.5	58.7	17.5	8.7	0.5	195.9	16.3	12
1929	0	0	0	0	0	35	31.2	35.7	72.5	20	12.7	0	207.1	17.3	12
1930	0	0	0	0	37	45	69.5	5	68.7	20.2	38.3	0	283.7	23.6	12
1931	25.5	2.5	0	0	3.7	12	60	110	22	39	0	0	274.7	22.9	12
1932	5.5	5	0	0	0	33.5	46	67	41	35	0	0	233	19.4	12
1933	0.5	13.5	0	0	0	23	63	50	40	30.5	4.5	0	225	18.8	12
1934	1.5	0	10	0	11	23	55	37	37.5	23	0	14	212	17.7	12
1935	5	9.5						58	86	1.5	1	0	161	23	7
1936	0	0	2.5	4	0	64	30	34	45	32	5	0	216.5	18	12
