COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 22/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 16039 
 NOMBRE    : PIEDRAS BLANCAS 
 ESTADO    : MICHOACÁN DE OCAMPO 
 MUNICIPIO : BUENAVISTA 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.24694444 ° 
 LONGITUD  : -102.7686111 ° 
 ALTITUD   : 419 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	5	0	0	0	0	16.5	48	18.2	11.5	0	0	0	99.2	8.3	12
1962	0	0	0	0	5.7	8	31.5	61.6	26	25.4	24	1	183.2	15.3	12
1963	0	0	0.5	1.4	3.5	63.5	29.4	21	57	29	0	23	228.3	19	12
1964	1		0	0	0	30.2	30.6	12.6	33	7	0	24	138.4	12.6	11
1965	2.5	8.5	0	4.4	10.6	12.2	24.5	70.5	37.6	21.2	0	0.8	192.8	16.1	12
1966	1	1.5	0	2.7	22.5	48.5	76	41	21	15.5	0	0	229.7	19.1	12
1967	25.5	0	0	0	12.5	36.2	24.5	21.8	41.6	17.2	1.2	7.8	188.3	15.7	12
1968	0	5	40	0	15.5	58	118	35.5	20.8	25.2	8	8.4	334.4	27.9	12
1969	2	0	0	0	6.8	22	61	48.5	20	38	0	2.5	200.8	16.7	12
1970	0	1.2	0	0	0.5	53	50.7	31	21.8	4.2	3.2	0	165.6	13.8	12
1971						33	23.4	24.5	51	20.3	6.3	0	158.5	22.6	7
1972	5.7	0	5.5	0	13.5	63.5	48.9	62	42.5	24.3	17	0	282.9	23.6	12
1973	0	1.6	0	6.2	75	37	33	63.5	34.2	56	0	14	320.5	26.7	12
1974	0	0	0	0	18	36.5	31.3	53.2	16.5	26	2	20.5	204	17	12
1975		0	0	0	12	46	37.2	28.5	29.8	5.5	2.5	1	162.5	14.8	11
1976	0.6	1.8	0	0	0	26	55.5	51.5	30.5	66	54.8	0	286.7	23.9	12
1977	3.2	0	0	4.2	16	23	12.2	26	78	7.5	6	5	181.1	15.1	12
1978	5	0.5	0	0	0	27	35	38	32.5	11.5	0	0	149.5	12.5	12
1979	41.1	11	0	0	0	20	52.8	25.8	35.8	14.5	0	1.1	202.1	16.8	12
1980	41.1	0.3	0	0	0	24.5	41.5	68.5	16.8	8.5	1	3	205.2	17.1	12
1981	36	9.4	0	0	13	28	67.5	56.4	55.2	28.9	1.9	7	303.3	25.3	12
1982	0	0	0	0	10.6	12.2	25.7	11.4	9.1	17.2	47.7	2.1	136	11.3	12
1983	18	6.6	9.8	0	55.5	10	49.4	44.5	14.3	36	13.8	17.5	275.4	23	12
1984	14.6	0	0	0	6.6	60.5	43.7	33.5	33.5	61.5	1.4	5.5	260.8	21.7	12
1985	0	0	0	0	0.01	42.7	22	45.8	19.1	16.4	35.3	5.2	186.51	15.5	12
1986	0.01	20	0	0.01	12.5	23	33.8	7.7	10	34.2	12	0.01	153.23	12.8	12
1987	6.5	2	0	0.01	0.01	39.5	70.5	44.7	34	30.1	0.3	0	227.62	19	12
1988	2.5	0	7.7	0	0	69.1	27.2	103	42.8	10.2	0	0	262.5	21.9	12
1989	0	0	0	0	0	32.5	41.1	50.5	31.9	12.7	13.5	19	201.2	16.8	12
1990	2.1	4.7	0	6.9	9	57	50.5	18.2	62.7	30.6	2.4	3.4	247.5	20.6	12
1991	0	0	21	0	0	72.2	49.7	54	58.5	7	7	4	273.4	22.8	12
1992	125.5	35.5	0	2.1	5	11.1	32.2	64.7	20	67	15	14.6	392.7	32.7	12
1993	5.9	0	0	0	0.01	60	23	68.2	9.4	24.5	0.01	0	191.02	15.9	12
1994		0	0.01	0	0.01	52	27.4	31.3	22.3	7.4	10	0	150.42	13.7	11
1995	0.01	22.4	0	0				92	61	7	2	15	199.41	22.2	9
1996	0	0	0	0	16	20.5	24	50	15	47	13	0	185.5	15.5	12
1997	0.01	0	5.5	0.01	9	24.5	23	20.5	20	33	12	0.01	147.53	12.3	12
1998	0	0	0	0	0	51	40	13	73	13	1	0	191	15.9	12
1999	0	0	0	0	0.01	32	82	5	47	5	0	0	171.01	14.3	12
2000	0	0	0	0	20	45	22.5	27.5	59	28.5	10	0.01	212.51	17.7	12
2001	17.5	0	9	0	12	25.5	20.5	28	25	24	0	0.01	161.51	13.5	12
2002	6.5	4.5	0	0	4	22	55	44.5	24	8	44	0.01	212.51	17.7	12
2003	2.5	0.01	0	0	2.5	41	58	20	63	42	0	0	229.01	19.1	12
2004	17	0	3	0	6	58	22	30	79	53	0	0	268	22.3	12
2005	9.5	1.5	0.01	0	0	27	62	18.5	16	9	0	0	143.51	12	12
2006	4	0	0	0	1	34.5	10	22.5	47	93.5	3.5	0.01	216.01	18	12
2007	18.5	0.01	0	0.01	9.5	28	38.5	58	13	28	19	2	214.52	17.9	12
2008	0	0	0	0.01	26.5	24	61.5	80	31	29	0	0	252.01	21	12
2009	0.01	0	0	0	7.5	35	44.5	21.5	22.5	28	0	4	163.01	13.6	12
2010	11.5	44	0	0.01	0	31.5	39	20	28.5	0	0	0	174.51	14.5	12
2011	0	0	0	0	1	55.5	27.5	106	42.5	19	0	0	251.5	21	12
2012	0	14	0	0	0.01	33.5	24	41.5	34.5	62	22	2.5	234.01	19.5	12
2013	9.5	0	2	0	7.5	32	51	26	94.5	37	23.5	8	291	24.2	12
2014	2.5	0	0	0	16	74.5	26	23	12.5	2	26.5	1	184	15.3	12
2015	0	9.5	80	6.5	31	19	40	53.5	9	73	0.01	19	340.51	28.4	12
2016	12.5	0	10.5	0	21	16.5	20.5	21	29	28	19.5	11	189.5	15.8	12
2017	0	0.01	0.01	0	24.5	22	35	67.5	57	3.5	0	0	209.52	17.5	12
2018	12	7	0	0	20	124	22	18	11	25	83	0	322	26.8	12
2019	4.5	0	0	0	0	40	28.5	34	50	49	4	0.01	210.01	17.5	12
2020	2	56	0	0	5.5	59	46.5	59	44	6.5	0	0	278.5	23.2	12
2021	0	0	0	0	24	50	65	52.5	71	0	1	0	263.5	22	12
2022	0	0.01	0	1.5	33	96.5	60	75	14	9	22	0	311.01	25.9	12
2023	1	0	0	0	0	18.5	77	49	20	49.5	0.01	3.5	218.51	18.2	12
2024	0	16	0	0	0	69	68	61	69.5	3.5	8.5	0	295.5	24.6	12
2025	7	0	0	0	25.5	53.5	28.5	60	34	7	0	1	216.5	18	12
2026	1.5	0	0										1.5	0.5	3
MÍNIMA	0	0	0	0	0	8	10	5	9	0	0	0	1.5	0.5	3
MÁXIMA	125.5	56	80	6.9	75	124	118	106	94.5	93.5	83	24	392.7	32.7	12
MEDIA	7.7	4.4	3	0.6	10.3	39.3	41.4	42.1	35.3	25.1	9.2	4	217.2	18.4	11.7
DESV.ST	17.9	10.5	11.4	1.6	13.6	21.6	19.6	22.8	20.4	20.4	15.4	6.5	64.2	5.3	1.3

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1961	10.2	0	0	0	0	73.2	199.6	54.3	27.7	0	0	0	365	30.4	12
1962	0	0	0	0	6.7	40.8	84.5	205.2	137.8	96.2	25	1	597.2	49.8	12
1963	0	0	0.9	1.4	3.5	194.1	104.4	75.7	194.6	44.8	0	26	645.4	53.8	12
1964	1.3		0	0	0	90.1	101.9	67.9	154.3	13.4	0	24	452.9	41.2	11
1965	2.5	18.1	0	4.4	11.6	37.8	91.7	303.8	92.4	29.5	0	0.8	592.6	49.4	12
1966	1	4.5	0	3.5	68.1	158.6	219	155.8	58.4	36.2	0	0	705.1	58.8	12
1967	58.6	0	0	0	19.3	204.8	51.9	62.3	214.1	46.8	1.2	12.2	671.2	55.9	12
1968	0	9.2	66.7	0	25.7	174.8	225.6	88.6	99.3	63.6	8	8.4	769.9	64.2	12
1969	2	0	0	0	9.8	50.8	119.8	228.1	56.3	86.4	0	4.3	557.5	46.5	12
1970	0	1.6	0	0	0.5	234.9	174.5	142	115.4	8.2	6	0	683.1	56.9	12
1971						77.52	72.84	118.02	271.38	52.34	6.3	0	598.4	85.5	7
1972	5.7	0	5.5	0	16.3	216	178.1	124	97.7	64.8	33.8	0	741.9	61.8	12
1973	0	1.6	0	6.2	91.7	99.5	107.7	222.7	169.2	108.7	0	14	821.3	68.4	12
1974	0	0	0	0	37	206.5	110.8	156.7	50.2	30.2	2	20.5	613.9	51.2	12
1975		0	0	0	15	185	119.3	52.8	123.3	7.5	2.5	1	506.4	46	11
1976	0.6	1.8	0	0	0	115.9	333.3	88.5	68.2	130	101.1	0	839.4	70	12
1977	3.2	0	0	6.2	22	137.5	36.8	109.9	122.2	8.7	6	5	457.5	38.1	12
1978	5	0.5	0	0	0	109.7	121.5	137.3	106.2	31.7	0	0	511.9	42.7	12
1979	113.5	11	0	0	0	80.3	201.2	74.5	131.1	14.5	0	2.1	628.2	52.4	12
1980	113.5	0.3	0	0	0	77	172.9	144	46.1	21.5	1	3	579.3	48.3	12
1981	77.9	9.4	0	0	13	92.1	278.9	201.8	111.7	34.9	1.9	7	828.6	69	12
1982	0	0	0	0	22.4	21.3	91.9	46.8	18.8	31.7	66	2.6	301.5	25.1	12
1983	19.2	6.6	9.8	0	101.8	28.81	163.9	232.5	74.7	95.5	19.6	17.5	769.91	64.2	12
1984	27.9	0	0	0	8.1	133.3	197.8	119.1	119.1	75.2	1.4	5.5	687.4	57.3	12
1985	0	0	0	0	0.02	208	80.9	127.3	43.2	20.51	35.3	5.2	520.43	43.4	12
1986	0.01	20	0	0.01	16.31	113.82	171.75	25.04	60.64	87.54	19.02	0.02	514.16	42.8	12
1987	6.5	2.01	0	0.01	0.03	184.05	310.2	99.15	96.11	70.4	0.3	0	768.76	64.1	12
1988	2.5	0	10.91	0	0	162.93	149.73	352.73	117.74	14.02	0	0	810.56	67.5	12
1989	0	0	0	0	0	86.52	69.86	158.93	132.43	15.62	21	52.63	536.99	44.7	12
1990	2.11	4.71	0	13.12	9.03	183.82	142.53	78.21	124.86	55.85	2.4	3.4	620.04	51.7	12
1991	0	0	589	0	0	143.92	133.13	204.91	157.04	15.92	15.42	4.01	1263.35	105.3	12
1992	315.82	42.02	0	2.1	13.7	19.33	75.24	139.42	87.73	170.53	16.02	16.61	898.52	74.9	12
1993	5.91	0	0	0	0.01	199.93	129.64	168.55	49.96	50.32	0.02	0	604.34	50.4	12
1994		0	0.01	0	0.01	179.62	55.53	141.55	40.75	16.32	11.01	0	444.8	40.4	11
1995	0.01	36.6	0	0				274.01	123.51	7	2	22.5	465.63	51.7	9
1996	0	0	0	0	30	76.5	115.5	96.06	67.03	157.7	13.01	0	555.8	46.3	12
1997	0.02	0	5.52	0.04	13.55	54.07	40.59	73.59	63.11	118.52	40.51	0.03	409.55	34.1	12
1998	0	0	0	0	0	159.04	139.59	62.05	391.06	20.03	1.12	0	772.89	64.4	12
1999	0	0	0	0	0.02	122.54	312.05	43.52	113.02	12.54	0	0	603.69	50.3	12
2000	0	0	0	0	65.02	143.56	57.01	101.02	159.06	56.52	10	0.01	592.2	49.4	12
2001	17.5	0	17.5	0	22.01	115.34	91.02	100.51	84.55	29	0	0.01	477.44	39.8	12
2002	12.5	6.5	0	0	5.02	77.06	209.03	120.03	112.06	15.02	88.02	0.02	645.26	53.8	12
2003	4.01	0.01	0	0	2.5	93.55	156.02	65.54	264.57	73.01	0	0	659.21	54.9	12
2004	38.5	0	3	0	12.04	142.03	76.46	100.01	169.03	72.54	0	0	613.61	51.1	12
2005	9.52	1.53	0.02	0	0	46.03	183.06	62.06	62.04	11.4	0	0	375.66	31.3	12
2006	4.01	0	0	0	1.01	63.02	53.03	101.54	189.53	207.51	5.5	0.01	625.16	52.1	12
2007	20.51	0.02	0	0.01	9.51	150.51	171.02	195.56	41.58	68.54	25	2	684.26	57	12
2008	0	0	0	0.01	26.52	78.57	142.06	165.06	95.05	37.03	0	0	544.3	45.4	12
2009	0.01	0	0	0	12.53	80.52	175.03	60.58	39.05	87.53	0	5.01	460.26	38.4	12
2010	14.52	117.5	0	0.01	0	85.52	151.57	142.02	127.56	0	0	0	638.7	53.2	12
2011	0	0	0	0	2	215.5	101.04	178.04	65.02	37.52	0	0	599.12	49.9	12
2012	0	29.53	0	0	0.01	80.52	100.53	163.03	110.01	106.01	32	2.5	624.14	52	12
2013	9.52	0	2.01	0	7.52	94.53	170.03	84.06	410.55	137.52	47	17.54	980.28	81.7	12
2014	2.5	0	0	0	56.03	174.03	57.54	86.56	59.54	2.03	30.01	1	469.24	39.1	12
2015	0	10.53	156.51	6.51	81	65.57	193.01	106.52	15.57	209.53	0.01	25	869.76	72.5	12
2016	20.5	0	10.5	0	21.01	58.56	95.53	103.03	130.02	33.53	35	20.51	528.19	44	12
2017	0	0.02	0.02	0	24.51	88.52	135.04	152.03	161.53	9.5	0	0	571.17	47.6	12
2018	14.51	7.02	0	0	57.03	288.53	71.03	81.04	28.03	80.02	138.5	0	765.71	63.8	12
2019	4.5	0	0	0	0	175.05	92.04	140.02	95.03	94.01	4	0.01	604.66	50.4	12
2020	2	79	0	0	5.51	89.54	139.06	156.54	238.02	6.5	0	0	716.17	59.7	12
2021	0	0	0	0	36.03	122.01	126.05	175.54	137.05	0	1	0	597.68	49.8	12
2022	0	0.01	0	1.5	33	265.52	211.54	161.02	27.52	24.52	22.02	0	746.65	62.2	12
2023	1	0	0	0	0	26.01	311.03	194.05	37.02	114.1	0.02	5.52	688.75	57.4	12
2024	0	16	0	0	0	98.02	204.04	129.04	272.01	6.01	10	0	735.12	61.3	12
2025	8.5	0	0	0	35.52	180.5	126	217	106.5	13	0	1	688.02	57.3	12
2026	1.5	0	0										1.5	0.5	3
MÍNIMA	0	0	0	0	0	19.33	36.8	25.04	15.57	0	0	0	1.5	0.5	3
MÁXIMA	315.82	117.5	589	13.12	101.8	288.53	333.3	352.73	410.55	209.53	138.5	52.63	1263.35	105.3	12
MEDIA	15.2	6.8	13.5	0.7	17	122.4	142	132.3	116.4	53.8	14	5.2	624.5	52.9	11.7
DESV.ST	45	18.9	75.5	2.2	23.7	63.1	69.4	64.7	79.2	50.1	25.7	9.5	173.9	14.8	1.3

EVAPORACIÓN MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
