COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA NACIONAL 

ESTADÍSTICA MENSUAL
EMISIÓN   : 22/05/2026 

DATOS DISPONIBLES EN LA BASE DE DATOS A: MAY DE 2026; 
CON LA INFORMACIÓN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS 

 ESTACIÓN  : 16085 
 NOMBRE    : PARACUARO 
 ESTADO    : MICHOACÁN DE OCAMPO 
 MUNICIPIO : PARÁCUARO 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 19.15 ° 
 LONGITUD  : -102.225 ° 
 ALTITUD   : 597 msnm 


LLUVIA MÁXIMA 24 H.
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						62	27.8	56.6	66.7	29.1	0	4.7	246.9	35.3	7
1970	0	1.8	0	0	0	58.1	75.3	73.2	106.5	8.6	0	0	323.5	27	12
1971	0	0	10	0	19	36	48	70	80	33	0	0	296	24.7	12
1972	0	0	0	0	18	32	40	91.5	72	6	82	0	341.5	28.5	12
1973	0	0	0	38	18.5	70.5	58	44	90	84	2.5	0	405.5	33.8	12
1974	0	0	0	0	24	36	38	36	32	20	8.5	14	208.5	17.4	12
1975	2.5	0	0	0	3	38	40	47	31.5	21.5	0	0	183.5	15.3	12
1976	0	0	0	15.9	0.2	13.4	121	75.7	29.6	83.5	34	0	373.3	31.1	12
1977	2.2	1.5	0	2.2	22.4	70.3	93.7	78	68	6	5	9.8	359.1	29.9	12
1978	0	1	0	2.9	0.3	90	60.5	41.5	76.5	79	0	0	351.7	29.3	12
1979	0	3	0	0	21	21	23	52.5	42.5	28	0	2	193	16.1	12
1980	43	1	0	0	1.5	60.5	28	36	78.5	64	3	0	315.5	26.3	12
1981	30	0	7.5	1.5	29	56.5	45	54	93	49.5	0	0	366	30.5	12
1982	0	0	0	0	59	86.5	51	36.5	23	9	27.5	0	292.5	24.4	12
1983	7	7.5	6	0	79	16	45	124.5	12.5	83	22	12.5	415	34.6	12
1984	13	2	0	0	18	85.5	49	122	56	2.5	0	0	348	29	12
1985	0	0	2	0	4	89	111.5	54	29	33.5	0	0	323	26.9	12
1986	0	6.5	0	1.5	2	48.5	37	62	26	42.5	5.5	16.5	248	20.7	12
1987	3.5	0	0	0	1	74.5	49	83.5	15	3.5	0	1	231	19.2	12
1988	0	0	15.5	0	0	27	43.5	72	62	47	0	0	267	22.2	12
1989	0	0	0	0	2	26	62	43	48	36	0		217	19.7	11
1990	6	0	0	0	0	36.5							42.5	7.1	6
1992								74					74	74	1
1994						22	79	63.5	19	16	0		199.5	33.2	6
1995							46						46	46	1
1996					1.8	60	80	33	59	75			308.8	51.5	6
1997								53	35				88	44	2
1998						37	65	54					156	52	3
1999						54							54	54	1
2000						52	37	27	64.5	0.4		26	206.9	34.5	6
2001	0	0	14.3	2.5	29.5	17.8	94	92.5					250.6	31.3	8
2004	10.6	0	0	0		44.5	80.2	49.2	68.2	78.4	0	0.01	331.11	30.1	11
2005	2.5	0.7	4	0	0	49.6	62.1	26	45	34.3			224.2	22.4	10
2006	0	0	0	0	8	37.8	66.3	42.6	89.7	67	2.7	1.4	315.5	26.3	12
2007	4	14.2	0	0	4	19.5	83.4	65	51.7	110.5	11.2	3.7	367.2	30.6	12
2008	0	0	0	0	0	70	40	49	42.6	28	0	0	229.6	19.1	12
2009	0	0	0	0	19.5	35.5	43	78	36.4	17.4	0	2	231.8	19.3	12
2010	40.3	69.8	0	0	0	38.2	78.5	58.5	27	0	0	0	312.3	26	12
2011	0	0	0	0	7.9	72	60	26.5	64.5	22.5	0	0	253.4	21.1	12
2012	1	25.5	0	0	6	34.5	80	60	20	32.8	45	0.3	305.1	25.4	12
2013	19.2	0	6.5	0	4	26.5	82.3	54.4	112.5	80	36.5	1.5	423.4	35.3	12
2014	0.2	0	0	2	20	76.7	44	76.2	57.2	21	52	1.1	350.4	29.2	12
2015	0	10	93	0	10	21	38.5	38	39	145.7	0	12	407.2	33.9	12
2016	8.5	0	16	0	0	59	41.2	41.4	83.6	19.4	8	24	301.1	25.1	12
2017	0	0.8	0.01	0	1.9	15	61.5	38.7	56	49.9	0	0	223.81	18.7	12
2018	12.6	0.01	0	0	15.3	18.7	27.6	39.6	34.6	26.7	24	0	199.11	16.6	12
2019	0	0	0	0	8.7	10.5	21.8	18.6	63.5	42.7	32	0	197.8	16.5	12
2020	16.7	18.9	0	0	2.7	23.5	51.7	29	57.2	2.4	0	4.6	206.7	17.2	12
2021	0	0	0	0	1.5	75	57.7	121.6	96	86.7	0	0	438.5	36.5	12
2022	2	0	0	0.01	16.8	54	42.6	49.7	39.6	21.4	0	19.8	245.91	20.5	12
2023	0	0	0	0	1.3	12	55	46	33	67	2.3	9.7	226.3	18.9	12
2024	0	0	0	0	0	56.5	61.5	89.6	101.5	21.7	11.5	0	342.3	28.5	12
2025	49	6	0	0	40	82	33.4	0					210.4	26.3	8
MÍNIMA	0	0	0	0	0	10.5	21.8	0	12.5	0	0	0	42.5	7.1	1
MÁXIMA	49	69.8	93	38	79	90	121	124.5	112.5	145.7	82	26	438.5	74	12
MEDIA	6.2	3.9	4	1.5	11.8	46.2	56.3	57	55.1	40.8	9.9	4.1	265.6	28.5	10.2
DESV.ST	12.2	11.5	14.4	6.1	16.3	23.4	22.3	25.8	26.2	33	17.9	7.1	97	11.5	3.4

LLUVIA TOTAL MENSUAL
AÑO	ENE	FEB	MAR	ABR	MAY	JUN	JUL	AGO	SEP	OCT	NOV	DIC	ACUM	PROM	MESES
1969						139.7	145.6	330.1	308	75.8	0	8	1007.2	143.9	7
1970	0	3.6	0	0	0	231	311	314.2	331	19.7	0	0	1210.5	100.9	12
1971	0	0	10	0	31	107.5	211.7	229.5	391.2	58.5	0	0	1039.4	86.6	12
1972	0	0	0	0	44	135.5	251.8	341.5	211	18	99	0	1100.8	91.7	12
1973	0	0	0	46.5	25.5	206	159.5	266	284.5	268.1	2.5	0	1258.6	104.9	12
1974	0	0	0	0	54	185	201.5	198.5	146	52.5	8.5	14	860	71.7	12
1975	5.7	0	0	0	3.5	148.5	200.7	206.5	115.7	63.8	0	0	744.4	62	12
1976	0	0	0	15.9	0.2	74.3	289.2	255.6	111.2	148.6	86.4	0	981.4	81.8	12
1977	2.2	1.5	0	2.2	30.5	362	359.4	184.1	212.9	15.4	8.5	9.8	1188.5	99	12
