$Max,$Min,Varianza,DesEst,Origen,Presentaci—n,A–o,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
11,1.17,5.35,2.31,Michoac‡n,Arpilla de 30 kg.,2003,3,6.39,8.22,2.25,1.61,1.63,1.86,1.87,2.34,1.96,2.18,4.11
5.33,1.33,0.69,0.83,Michoac‡n,Arpilla de 30 kg.,2004,4.48,2.99,2.48,2.11,1.96,1.54,1.47,2.19,2.55,2.2,3,2.87
4,1.33,0.35,0.59,Michoac‡n,Arpilla de 30 kg.,2005,2.28,2.46,2.12,1.69,1.47,2.15,2.37,2.58,2.97,2.68,2.33,3.6
4,2,0.38,0.62,Michoac‡n,Arpilla de 30 kg.,2006,3.43,4,3.96,3.44,2.67,2.62,2.37,3.13,3.7,3.24,2.56,3.16
15,2,7.38,2.72,Michoac‡n,Arpilla de 30 kg.,2007,4.2,7.14,10.48,6.09,2.48,2.29,3.06,3.3,2.89,3.04,3.87,7.57
5.26,5.26,,,Michoac‡n,Caja de 19 kg.,2007,,,,,,,,,5.26,,,
9,2.33,4.3,2.07,Michoac‡n,Arpilla de 30 kg.,2008,7.41,8.35,4.76,2.53,2.53,2.9,2.7,2.83,2.91,2.77,2.95,5.39
2.67,2.67,,,MŽxico,Arpilla de 30 kg.,2008,,,,,,,,,2.67,,,
11.33,2.33,4.45,2.11,Michoac‡n,Arpilla de 30 kg.,2009,7.1,9.23,7.86,3.73,2.67,3.23,3.64,4.02,5,3.96,4.11,4.38
10.67,4,14.11,3.76,Michoac‡n,Caja de 30 kg.,2009,,,10.67,,,,,,,4.17,,
3.64,3.64,,,Michoac‡n,Arpilla de 33 kg.,2009,,,,,,,,,,3.64,,
18.67,3,11.98,3.46,Michoac‡n,Arpilla de 30 kg.,2010,4.07,3.58,3.28,3.77,4.51,4.96,3.69,3.88,4.56,5.18,8.05,15.03
23,4,24.46,4.95,Michoac‡n,Arpilla de 30 kg.,2011,21.02,13.09,6.26,4.98,4.21,4.33,4.24,4.57,5.88,6.47,5.51,6.19
7.33,3.67,0.41,0.64,Michoac‡n,Arpilla de 30 kg.,2012,6.16,4.06,4.4,5.3,5.11,4.97,5.25,5.33,4.99,4.99,5.48,5.08
12.67,5.33,3.96,1.99,Michoac‡n,Arpilla de 30 kg.,2013,7.4,6.88,10.37,12.11,8.88,5.62,5.51,6.71,6.95,6.7,6.58,7.92
33.33,5.67,41.62,6.45,Michoac‡n,Arpilla de 30 kg.,2014,10.77,17.63,27.93,13.5,9.62,6.37,6.54,7.21,6.67,7.23,8.68,7.84
10,5.67,1.89,1.38,Michoac‡n,Arpilla de 30 kg.,2015,7.06,6.65,8.1,7.43,6.12,6.03,6.19,9.1,9.37,9.05,8.4,6.21
28.67,5,37.33,6.11,Michoac‡n,Arpilla de 30 kg.,2016,6.18,8.17,12.65,23.56,19.9,7.94,7.11,8.41,11.33,7.86,5.61,10.46
21.33,6,18.81,4.34,Michoac‡n,Arpilla de 30 kg.,2017,11.8,11.86,19.51,18.74,7.37,6.86,6.43,8.04,10.58,10.32,11.05,11.65
26.67,6.67,25.39,5.04,Michoac‡n,Arpilla de 30 kg.,2018,11.08,13.86,22.74,19.7,11.24,8.62,7.97,13.16,14.05,10.16,8,8.33
