DF: Central de Abasto de Iztapalapa DF,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Precios en pesos por kg conforme a su presentación comercial,,,,,,,,,,,,,,,,,,
(excepto para las presentaciones que no hagan referencia a esta unidad),,,,,,,,,,,,,,,,,,
Limón c/semilla  primera calidad,,,,,,,,,,,,,,,,,,
DF: Central de Abasto de Iztapalapa DF,,,,,,,,,,,,,,,,,,
Variables estad’sticas,,,,,,,Promedios mensuales,,,,,,,,,,,
$Max,$Min,Varianza,DesEst,Origen,Presentación,Anio,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
4.17,1.42,0.52,0.72,Michoacán,Caja de 18 kg.,1998,3.2,2.84,1.78,2.12,1.86,1.62,,,2.39,1.87,2.09,3.38
2.44,1.61,0.08,0.28,Oaxaca,Caja de 18 kg.,1998,,,,,,,1.79,2.03,2.42,,,
7.64,1.67,3.27,1.81,Michoacán,Caja de 18 kg.,1999,5.53,6.16,3.1,2.81,1.77,1.79,1.83,2.01,2.04,2.26,3.35,6.28
7.78,1.67,2.75,1.66,Michoacán,Caja de 18 kg.,2000,5.87,5.69,2.74,2.07,1.83,1.87,2.16,2.09,2.28,2.39,4.67,5.54
5.56,1.67,0.53,0.73,Michoacán,Caja de 18 kg.,2001,3.81,3,2.49,1.89,1.83,2.13,2.02,2.2,1.96,1.94,2.1,3.17
5,1.67,0.74,0.86,Michoacán,Caja de 18 kg.,2002,4.42,3.55,2.19,2.06,2.05,2.08,2.57,3.02,3.06,2.31,2.14,2.03
12.22,1.94,7.88,2.81,Michoacán,Caja de 18 kg.,2003,2.71,6.32,8.72,3.26,2.22,,,,,,,
5.5,1.25,0.44,0.66,Michoacán,Arpilla de 20 kg.,2003,,,,,1.64,1.71,1.88,2.12,2.27,2.17,2.16,3.45
5,5,,,Michoacán,Arpilla de 20 kg.,2004,5,,,,,,,,,,,
6.32,1.58,0.49,0.7,Michoacán,Arpilla de 19 kg.,2004,4.07,2.51,1.91,1.88,1.8,1.93,1.9,2.4,2.33,2.16,2.64,2.48
4.47,1.58,0.25,0.5,Michoacán,Arpilla de 19 kg.,2005,2.17,2.3,2.29,2.08,1.82,2.08,2.16,2.13,2.22,2.24,1.83,3.38
4.21,1.58,0.51,0.72,Michoacán,Arpilla de 19 kg.,2006,3.96,3.82,3.06,2.87,1.88,1.85,2.32,2.72,3.32,2.68,2.37,2.42
12.63,1.84,4.33,2.08,Michoacán,Arpilla de 19 kg.,2007,3.52,5.35,8.17,5.43,2.12,1.94,2.4,2.78,2.75,2.65,3.31,5.72
8.95,1.84,2.58,1.61,Michoacán,Arpilla de 19 kg.,2008,5.5,5.51,3.16,2.08,1.99,2.17,2.31,2.37,2.46,2.35,2.62,5.96
8.95,1.84,3.3,1.82,Michoacán,Arpilla de 19 kg.,2009,6.23,7.96,6.4,2.55,2.2,2.61,3.25,3.7,3.44,3.76,4.24,4.22
18.42,2.11,10.86,3.3,Michoacán,Arpilla de 19 kg.,2010,3.08,3.04,2.71,3.23,3.7,3.17,2.53,2.63,3.03,3.7,6.61,13.37
20,2.37,12.53,3.54,Michoacán,Arpilla de 19 kg.,2011,14.79,7.63,3.25,2.67,2.52,2.63,2.76,3.23,4.67,5.04,5.88,6.24
7.89,3.16,0.41,0.64,Michoacán,Arpilla de 19 kg.,2012,4.14,3.82,3.53,4.24,3.59,3.81,3.78,3.78,3.59,3.89,4.5,4.57
12.11,2.89,2.62,1.62,Michoacán,Arpilla de 19 kg.,2013,5.69,5.96,8.25,8.01,5.14,3.76,3.76,5.07,4.66,4.03,3.92,5.86
22.11,3.68,25.34,5.03,Michoacán,Arpilla de 19 kg.,2014,9.31,17.65,18.61,6.95,4.3,3.85,4.31,4.81,4.5,5.1,6.62,4.88
7.37,3.95,0.69,0.83,Michoacán,Arpilla de 19 kg.,2015,4.6,5.24,6.19,4.76,4.32,4.09,4.77,6.14,5.94,5.45,4.43,4.52
21.58,3.68,13.28,3.64,Michoacán,Arpilla de 19 kg.,2016,4.72,6.76,9.58,15.74,8.35,4.21,4.44,5.29,6.39,4.19,4.05,7.22
15.79,3.68,10.54,3.25,Michoacán,Arpilla de 19 kg.,2017,8.3,11.14,14.11,11.64,4.59,4.33,4.24,5.63,6.92,6.6,7.11,6.89
15.79,4.21,10,3.16,Michoacán,Arpilla de 19 kg.,2018,7.56,10.53,14.79,9.52,4.76,4.49,4.9,7.48,6.97,5.71,5.68,4.71
14.74,4.21,5.42,2.33,Michoacán,Arpilla de 19 kg.,2019,4.63,7.29,11.79,7.92,5.54,4.84,6.27,8.65,9.16,8.08,6.08,5.86
17.89,4.21,10.79,3.29,Michoacán,Arpilla de 19 kg.,2020,5,5.87,11.58,12.95,10.34,,9.05,10.41,10.15,6.2,5.01,4.32
27.89,5.79,16.42,4.05,Michoacán,Arpilla de 19 kg.,2021,,9.47,10.91,7.53,6.26,6.17,5.91,6.79,7.89,6.79,8.84,18.63
34.21,5.79,55.79,7.47,Michoacán,Arpilla de 19 kg.,2022,27.49,28.12,18.52,10.58,7.02,8.06,10.23,9.75,9.8,7.77,7.18,11.22
24.74,8.42,15.22,3.9,Michoacán,Arpilla de 19 kg.,2023,11.94,15.93,15.22,12.43,9.05,9.45,10.08,15.63,20.2,15.67,10.34,10.71
18.42,4.74,8.4,2.9,Michoacán,Arpilla de 19 kg.,2024,10.77,10.61,10.56,11.46,9.83,9.21,8.72,11.79,15.68,8.28,5.68,5.91
15.26,5.26,4.23,2.06,Michoacán,Arpilla de 19 kg.,2025,7.19,10.03,12.26,8.92,7.09,6.17,6.48,9.32,8.95,6.61,6.48,8.01
19.47,6.84,19.05,4.36,Michoacán,Arpilla de 19 kg.,2026,11.98,17.45,16.57,8.24,7.33,,,,,,,
